Question_ID,Question,option1,option2,option3,option4,correct_option,Subject,chapter,topic,Section,Difficulty,Points,Acceptance_rate,ExamFrequency,AvgTimeSpent(All Users),TimeSpent_Student,Source,TopicArrayLevel,Level_Student,Rating_Student,PredictedQuestionsID
1,$\int\left(1+x+\frac{x^{2}}{2!}+\frac{x^{3}}{3!}+\ldots \ldots ..\right) d x=$,$-\mathrm{e}^{\mathrm{x}}+\mathrm{c}$,$\mathrm{e}^{\mathrm{x}}+\mathrm{c}$,$e^{-x}+c$,$-\mathrm{e}^{-\mathrm{x}}+\mathrm{c}$,Option 2,Maths,Indefinite Integration,Integrals of Algebric Functions,Calculus,Easy,1000,*#####,###,####,####,Goutam,####,1,###,2
1,$\int\left(1+x+\frac{x^{2}}{2!}+\frac{x^{3}}{3!}+\ldots \ldots ..\right) d x=$,$-\mathrm{e}^{\mathrm{x}}+\mathrm{c}$,$\mathrm{e}^{\mathrm{x}}+\mathrm{c}$,$e^{-x}+c$,$-\mathrm{e}^{-\mathrm{x}}+\mathrm{c}$,Option 2,Maths,Indefinite Integration,Integrals of Algebric Functions,Calculus,Easy,1000,*#####,###,####,####,Goutam,####,2,###,3
1,$\int\left(1+x+\frac{x^{2}}{2!}+\frac{x^{3}}{3!}+\ldots \ldots ..\right) d x=$,$-\mathrm{e}^{\mathrm{x}}+\mathrm{c}$,$\mathrm{e}^{\mathrm{x}}+\mathrm{c}$,$e^{-x}+c$,$-\mathrm{e}^{-\mathrm{x}}+\mathrm{c}$,Option 2,Maths,Indefinite Integration,Integrals of Algebric Functions,Calculus,Easy,1000,*#####,###,####,####,Goutam,####,3,###,4
1,$\int\left(1+x+\frac{x^{2}}{2!}+\frac{x^{3}}{3!}+\ldots \ldots ..\right) d x=$,$-\mathrm{e}^{\mathrm{x}}+\mathrm{c}$,$\mathrm{e}^{\mathrm{x}}+\mathrm{c}$,$e^{-x}+c$,$-\mathrm{e}^{-\mathrm{x}}+\mathrm{c}$,Option 2,Maths,Indefinite Integration,Integrals of Algebric Functions,Calculus,Easy,1000,*#####,###,####,####,Goutam,####,4,###,5
1,$\int\left(1+x+\frac{x^{2}}{2!}+\frac{x^{3}}{3!}+\ldots \ldots ..\right) d x=$,$-\mathrm{e}^{\mathrm{x}}+\mathrm{c}$,$\mathrm{e}^{\mathrm{x}}+\mathrm{c}$,$e^{-x}+c$,$-\mathrm{e}^{-\mathrm{x}}+\mathrm{c}$,Option 2,Maths,Indefinite Integration,Integrals of Algebric Functions,Calculus,Easy,1000,*#####,###,####,####,Goutam,####,5,###,6
1,$\int\left(1+x+\frac{x^{2}}{2!}+\frac{x^{3}}{3!}+\ldots \ldots ..\right) d x=$,$-\mathrm{e}^{\mathrm{x}}+\mathrm{c}$,$\mathrm{e}^{\mathrm{x}}+\mathrm{c}$,$e^{-x}+c$,$-\mathrm{e}^{-\mathrm{x}}+\mathrm{c}$,Option 2,Maths,Indefinite Integration,Integrals of Algebric Functions,Calculus,Easy,1000,*#####,###,####,####,Goutam,####,6,###,7
1,$\int\left(1+x+\frac{x^{2}}{2!}+\frac{x^{3}}{3!}+\ldots \ldots ..\right) d x=$,$-\mathrm{e}^{\mathrm{x}}+\mathrm{c}$,$\mathrm{e}^{\mathrm{x}}+\mathrm{c}$,$e^{-x}+c$,$-\mathrm{e}^{-\mathrm{x}}+\mathrm{c}$,Option 2,Maths,Indefinite Integration,Integrals of Algebric Functions,Calculus,Easy,1000,*#####,###,####,####,Goutam,####,7,###,8
1,$\int\left(1+x+\frac{x^{2}}{2!}+\frac{x^{3}}{3!}+\ldots \ldots ..\right) d x=$,$-\mathrm{e}^{\mathrm{x}}+\mathrm{c}$,$\mathrm{e}^{\mathrm{x}}+\mathrm{c}$,$e^{-x}+c$,$-\mathrm{e}^{-\mathrm{x}}+\mathrm{c}$,Option 2,Maths,Indefinite Integration,Integrals of Algebric Functions,Calculus,Easy,1000,*#####,###,####,####,Goutam,####,8,###,9
1,$\int\left(1+x+\frac{x^{2}}{2!}+\frac{x^{3}}{3!}+\ldots \ldots ..\right) d x=$,$-\mathrm{e}^{\mathrm{x}}+\mathrm{c}$,$\mathrm{e}^{\mathrm{x}}+\mathrm{c}$,$e^{-x}+c$,$-\mathrm{e}^{-\mathrm{x}}+\mathrm{c}$,Option 2,Maths,Indefinite Integration,Integrals of Algebric Functions,Calculus,Easy,1000,*#####,###,####,####,Goutam,####,9,###,10
1,$\int\left(1+x+\frac{x^{2}}{2!}+\frac{x^{3}}{3!}+\ldots \ldots ..\right) d x=$,$-\mathrm{e}^{\mathrm{x}}+\mathrm{c}$,$\mathrm{e}^{\mathrm{x}}+\mathrm{c}$,$e^{-x}+c$,$-\mathrm{e}^{-\mathrm{x}}+\mathrm{c}$,Option 2,Maths,Indefinite Integration,Integrals of Algebric Functions,Calculus,Easy,1000,*#####,###,####,####,Goutam,####,10,###,11
2,$\int \frac{a x^{-2}+b x^{-1}+c}{x^{-3}} d x=$,$2 a x^{2}+3 b x^{3}+4 c x^{4}+k$,$6 a x^{2}+4 b x^{3}+3 c x^{4}+k$,$a+b+c x^{2}+k$,$\frac{1}{2} a x^{2}+\frac{1}{3} b x^{3}+\frac{1}{4} c x^{4}+k$,Option 4,Maths,Indefinite Integration,Integrals of Algebric Functions,Calculus,Easy,1450,*#####,###,####,####,Goutam,####,1,###,3
2,$\int \frac{a x^{-2}+b x^{-1}+c}{x^{-3}} d x=$,$2 a x^{2}+3 b x^{3}+4 c x^{4}+k$,$6 a x^{2}+4 b x^{3}+3 c x^{4}+k$,$a+b+c x^{2}+k$,$\frac{1}{2} a x^{2}+\frac{1}{3} b x^{3}+\frac{1}{4} c x^{4}+k$,Option 4,Maths,Indefinite Integration,Integrals of Algebric Functions,Calculus,Easy,1450,*#####,###,####,####,Goutam,####,2,###,4
2,$\int \frac{a x^{-2}+b x^{-1}+c}{x^{-3}} d x=$,$2 a x^{2}+3 b x^{3}+4 c x^{4}+k$,$6 a x^{2}+4 b x^{3}+3 c x^{4}+k$,$a+b+c x^{2}+k$,$\frac{1}{2} a x^{2}+\frac{1}{3} b x^{3}+\frac{1}{4} c x^{4}+k$,Option 4,Maths,Indefinite Integration,Integrals of Algebric Functions,Calculus,Easy,1450,*#####,###,####,####,Goutam,####,3,###,5
2,$\int \frac{a x^{-2}+b x^{-1}+c}{x^{-3}} d x=$,$2 a x^{2}+3 b x^{3}+4 c x^{4}+k$,$6 a x^{2}+4 b x^{3}+3 c x^{4}+k$,$a+b+c x^{2}+k$,$\frac{1}{2} a x^{2}+\frac{1}{3} b x^{3}+\frac{1}{4} c x^{4}+k$,Option 4,Maths,Indefinite Integration,Integrals of Algebric Functions,Calculus,Easy,1450,*#####,###,####,####,Goutam,####,4,###,6
2,$\int \frac{a x^{-2}+b x^{-1}+c}{x^{-3}} d x=$,$2 a x^{2}+3 b x^{3}+4 c x^{4}+k$,$6 a x^{2}+4 b x^{3}+3 c x^{4}+k$,$a+b+c x^{2}+k$,$\frac{1}{2} a x^{2}+\frac{1}{3} b x^{3}+\frac{1}{4} c x^{4}+k$,Option 4,Maths,Indefinite Integration,Integrals of Algebric Functions,Calculus,Easy,1450,*#####,###,####,####,Goutam,####,5,###,7
2,$\int \frac{a x^{-2}+b x^{-1}+c}{x^{-3}} d x=$,$2 a x^{2}+3 b x^{3}+4 c x^{4}+k$,$6 a x^{2}+4 b x^{3}+3 c x^{4}+k$,$a+b+c x^{2}+k$,$\frac{1}{2} a x^{2}+\frac{1}{3} b x^{3}+\frac{1}{4} c x^{4}+k$,Option 4,Maths,Indefinite Integration,Integrals of Algebric Functions,Calculus,Easy,1450,*#####,###,####,####,Goutam,####,6,###,8
2,$\int \frac{a x^{-2}+b x^{-1}+c}{x^{-3}} d x=$,$2 a x^{2}+3 b x^{3}+4 c x^{4}+k$,$6 a x^{2}+4 b x^{3}+3 c x^{4}+k$,$a+b+c x^{2}+k$,$\frac{1}{2} a x^{2}+\frac{1}{3} b x^{3}+\frac{1}{4} c x^{4}+k$,Option 4,Maths,Indefinite Integration,Integrals of Algebric Functions,Calculus,Easy,1450,*#####,###,####,####,Goutam,####,7,###,9
2,$\int \frac{a x^{-2}+b x^{-1}+c}{x^{-3}} d x=$,$2 a x^{2}+3 b x^{3}+4 c x^{4}+k$,$6 a x^{2}+4 b x^{3}+3 c x^{4}+k$,$a+b+c x^{2}+k$,$\frac{1}{2} a x^{2}+\frac{1}{3} b x^{3}+\frac{1}{4} c x^{4}+k$,Option 4,Maths,Indefinite Integration,Integrals of Algebric Functions,Calculus,Easy,1450,*#####,###,####,####,Goutam,####,8,###,10
2,$\int \frac{a x^{-2}+b x^{-1}+c}{x^{-3}} d x=$,$2 a x^{2}+3 b x^{3}+4 c x^{4}+k$,$6 a x^{2}+4 b x^{3}+3 c x^{4}+k$,$a+b+c x^{2}+k$,$\frac{1}{2} a x^{2}+\frac{1}{3} b x^{3}+\frac{1}{4} c x^{4}+k$,Option 4,Maths,Indefinite Integration,Integrals of Algebric Functions,Calculus,Easy,1450,*#####,###,####,####,Goutam,####,9,###,11
2,$\int \frac{a x^{-2}+b x^{-1}+c}{x^{-3}} d x=$,$2 a x^{2}+3 b x^{3}+4 c x^{4}+k$,$6 a x^{2}+4 b x^{3}+3 c x^{4}+k$,$a+b+c x^{2}+k$,$\frac{1}{2} a x^{2}+\frac{1}{3} b x^{3}+\frac{1}{4} c x^{4}+k$,Option 4,Maths,Indefinite Integration,Integrals of Algebric Functions,Calculus,Easy,1450,*#####,###,####,####,Goutam,####,10,###,12
3,"If $f^{\prime}(x)=1 / x+x$ and $f(1)=5 / 2$, then $f(x)=$",$\log x+\frac{x^{2}}{2}+2$,$\log x+\frac{x^{2}}{2}+1$,$\log x-\frac{x^{2}}{2}+2$,$\log x-\frac{x^{2}}{2}+1$,Option 1,Maths,Indefinite Integration,Integrals of Algebric Functions,Calculus,Easy,1800,*#####,###,####,####,Goutam,####,1,###,4
3,"If $f^{\prime}(x)=1 / x+x$ and $f(1)=5 / 2$, then $f(x)=$",$\log x+\frac{x^{2}}{2}+2$,$\log x+\frac{x^{2}}{2}+1$,$\log x-\frac{x^{2}}{2}+2$,$\log x-\frac{x^{2}}{2}+1$,Option 1,Maths,Indefinite Integration,Integrals of Algebric Functions,Calculus,Easy,1800,*#####,###,####,####,Goutam,####,2,###,5
3,"If $f^{\prime}(x)=1 / x+x$ and $f(1)=5 / 2$, then $f(x)=$",$\log x+\frac{x^{2}}{2}+2$,$\log x+\frac{x^{2}}{2}+1$,$\log x-\frac{x^{2}}{2}+2$,$\log x-\frac{x^{2}}{2}+1$,Option 1,Maths,Indefinite Integration,Integrals of Algebric Functions,Calculus,Easy,1800,*#####,###,####,####,Goutam,####,3,###,6
3,"If $f^{\prime}(x)=1 / x+x$ and $f(1)=5 / 2$, then $f(x)=$",$\log x+\frac{x^{2}}{2}+2$,$\log x+\frac{x^{2}}{2}+1$,$\log x-\frac{x^{2}}{2}+2$,$\log x-\frac{x^{2}}{2}+1$,Option 1,Maths,Indefinite Integration,Integrals of Algebric Functions,Calculus,Easy,1800,*#####,###,####,####,Goutam,####,4,###,7
3,"If $f^{\prime}(x)=1 / x+x$ and $f(1)=5 / 2$, then $f(x)=$",$\log x+\frac{x^{2}}{2}+2$,$\log x+\frac{x^{2}}{2}+1$,$\log x-\frac{x^{2}}{2}+2$,$\log x-\frac{x^{2}}{2}+1$,Option 1,Maths,Indefinite Integration,Integrals of Algebric Functions,Calculus,Easy,1800,*#####,###,####,####,Goutam,####,5,###,8
3,"If $f^{\prime}(x)=1 / x+x$ and $f(1)=5 / 2$, then $f(x)=$",$\log x+\frac{x^{2}}{2}+2$,$\log x+\frac{x^{2}}{2}+1$,$\log x-\frac{x^{2}}{2}+2$,$\log x-\frac{x^{2}}{2}+1$,Option 1,Maths,Indefinite Integration,Integrals of Algebric Functions,Calculus,Easy,1800,*#####,###,####,####,Goutam,####,6,###,9
3,"If $f^{\prime}(x)=1 / x+x$ and $f(1)=5 / 2$, then $f(x)=$",$\log x+\frac{x^{2}}{2}+2$,$\log x+\frac{x^{2}}{2}+1$,$\log x-\frac{x^{2}}{2}+2$,$\log x-\frac{x^{2}}{2}+1$,Option 1,Maths,Indefinite Integration,Integrals of Algebric Functions,Calculus,Easy,1800,*#####,###,####,####,Goutam,####,7,###,10
3,"If $f^{\prime}(x)=1 / x+x$ and $f(1)=5 / 2$, then $f(x)=$",$\log x+\frac{x^{2}}{2}+2$,$\log x+\frac{x^{2}}{2}+1$,$\log x-\frac{x^{2}}{2}+2$,$\log x-\frac{x^{2}}{2}+1$,Option 1,Maths,Indefinite Integration,Integrals of Algebric Functions,Calculus,Easy,1800,*#####,###,####,####,Goutam,####,8,###,11
3,"If $f^{\prime}(x)=1 / x+x$ and $f(1)=5 / 2$, then $f(x)=$",$\log x+\frac{x^{2}}{2}+2$,$\log x+\frac{x^{2}}{2}+1$,$\log x-\frac{x^{2}}{2}+2$,$\log x-\frac{x^{2}}{2}+1$,Option 1,Maths,Indefinite Integration,Integrals of Algebric Functions,Calculus,Easy,1800,*#####,###,####,####,Goutam,####,9,###,12
3,"If $f^{\prime}(x)=1 / x+x$ and $f(1)=5 / 2$, then $f(x)=$",$\log x+\frac{x^{2}}{2}+2$,$\log x+\frac{x^{2}}{2}+1$,$\log x-\frac{x^{2}}{2}+2$,$\log x-\frac{x^{2}}{2}+1$,Option 1,Maths,Indefinite Integration,Integrals of Algebric Functions,Calculus,Easy,1800,*#####,###,####,####,Goutam,####,10,###,13
4,$\quad \int \frac{1-x^{7}}{x\left(1+x^{7}\right)} d x$ equals:,$\ln x+\frac{2}{7} \ln \left(1+x^{7}\right)+c$,$\ln x-\frac{2}{7} \ln \left(1-x^{7}\right)+c$, $\ln x-\frac{2}{7} \ln \left(1+x^{7}\right)+c$,$\ln x+\frac{2}{7} \ln \left(1-x^{7}\right)+c$,Option 3,Maths,Indefinite Integration,Integrals of Algebric Functions,Calculus,Easy,2200,*#####,###,####,####,Goutam,####,1,###,5
4,$\quad \int \frac{1-x^{7}}{x\left(1+x^{7}\right)} d x$ equals:,$\ln x+\frac{2}{7} \ln \left(1+x^{7}\right)+c$,$\ln x-\frac{2}{7} \ln \left(1-x^{7}\right)+c$, $\ln x-\frac{2}{7} \ln \left(1+x^{7}\right)+c$,$\ln x+\frac{2}{7} \ln \left(1-x^{7}\right)+c$,Option 3,Maths,Indefinite Integration,Integrals of Algebric Functions,Calculus,Easy,2200,*#####,###,####,####,Goutam,####,2,###,6
4,$\quad \int \frac{1-x^{7}}{x\left(1+x^{7}\right)} d x$ equals:,$\ln x+\frac{2}{7} \ln \left(1+x^{7}\right)+c$,$\ln x-\frac{2}{7} \ln \left(1-x^{7}\right)+c$, $\ln x-\frac{2}{7} \ln \left(1+x^{7}\right)+c$,$\ln x+\frac{2}{7} \ln \left(1-x^{7}\right)+c$,Option 3,Maths,Indefinite Integration,Integrals of Algebric Functions,Calculus,Easy,2200,*#####,###,####,####,Goutam,####,3,###,7
4,$\quad \int \frac{1-x^{7}}{x\left(1+x^{7}\right)} d x$ equals:,$\ln x+\frac{2}{7} \ln \left(1+x^{7}\right)+c$,$\ln x-\frac{2}{7} \ln \left(1-x^{7}\right)+c$, $\ln x-\frac{2}{7} \ln \left(1+x^{7}\right)+c$,$\ln x+\frac{2}{7} \ln \left(1-x^{7}\right)+c$,Option 3,Maths,Indefinite Integration,Integrals of Algebric Functions,Calculus,Easy,2200,*#####,###,####,####,Goutam,####,4,###,8
4,$\quad \int \frac{1-x^{7}}{x\left(1+x^{7}\right)} d x$ equals:,$\ln x+\frac{2}{7} \ln \left(1+x^{7}\right)+c$,$\ln x-\frac{2}{7} \ln \left(1-x^{7}\right)+c$, $\ln x-\frac{2}{7} \ln \left(1+x^{7}\right)+c$,$\ln x+\frac{2}{7} \ln \left(1-x^{7}\right)+c$,Option 3,Maths,Indefinite Integration,Integrals of Algebric Functions,Calculus,Easy,2200,*#####,###,####,####,Goutam,####,5,###,9
4,$\quad \int \frac{1-x^{7}}{x\left(1+x^{7}\right)} d x$ equals:,$\ln x+\frac{2}{7} \ln \left(1+x^{7}\right)+c$,$\ln x-\frac{2}{7} \ln \left(1-x^{7}\right)+c$, $\ln x-\frac{2}{7} \ln \left(1+x^{7}\right)+c$,$\ln x+\frac{2}{7} \ln \left(1-x^{7}\right)+c$,Option 3,Maths,Indefinite Integration,Integrals of Algebric Functions,Calculus,Easy,2200,*#####,###,####,####,Goutam,####,6,###,10
4,$\quad \int \frac{1-x^{7}}{x\left(1+x^{7}\right)} d x$ equals:,$\ln x+\frac{2}{7} \ln \left(1+x^{7}\right)+c$,$\ln x-\frac{2}{7} \ln \left(1-x^{7}\right)+c$, $\ln x-\frac{2}{7} \ln \left(1+x^{7}\right)+c$,$\ln x+\frac{2}{7} \ln \left(1-x^{7}\right)+c$,Option 3,Maths,Indefinite Integration,Integrals of Algebric Functions,Calculus,Easy,2200,*#####,###,####,####,Goutam,####,7,###,11
4,$\quad \int \frac{1-x^{7}}{x\left(1+x^{7}\right)} d x$ equals:,$\ln x+\frac{2}{7} \ln \left(1+x^{7}\right)+c$,$\ln x-\frac{2}{7} \ln \left(1-x^{7}\right)+c$, $\ln x-\frac{2}{7} \ln \left(1+x^{7}\right)+c$,$\ln x+\frac{2}{7} \ln \left(1-x^{7}\right)+c$,Option 3,Maths,Indefinite Integration,Integrals of Algebric Functions,Calculus,Easy,2200,*#####,###,####,####,Goutam,####,8,###,12
4,$\quad \int \frac{1-x^{7}}{x\left(1+x^{7}\right)} d x$ equals:,$\ln x+\frac{2}{7} \ln \left(1+x^{7}\right)+c$,$\ln x-\frac{2}{7} \ln \left(1-x^{7}\right)+c$, $\ln x-\frac{2}{7} \ln \left(1+x^{7}\right)+c$,$\ln x+\frac{2}{7} \ln \left(1-x^{7}\right)+c$,Option 3,Maths,Indefinite Integration,Integrals of Algebric Functions,Calculus,Easy,2200,*#####,###,####,####,Goutam,####,9,###,13
4,$\quad \int \frac{1-x^{7}}{x\left(1+x^{7}\right)} d x$ equals:,$\ln x+\frac{2}{7} \ln \left(1+x^{7}\right)+c$,$\ln x-\frac{2}{7} \ln \left(1-x^{7}\right)+c$, $\ln x-\frac{2}{7} \ln \left(1+x^{7}\right)+c$,$\ln x+\frac{2}{7} \ln \left(1-x^{7}\right)+c$,Option 3,Maths,Indefinite Integration,Integrals of Algebric Functions,Calculus,Easy,2200,*#####,###,####,####,Goutam,####,10,###,14
5,$\int \frac{x^{3}}{x+1} d x$ is equal to,$x+\frac{x^{2}}{2}+\frac{x^{2}}{3}-\ln |1-x|+C$,$x+\frac{x^{2}}{2}-\frac{x^{2}}{3}-\ln |1-x|+C$,$x-\frac{x^{2}}{2}-\frac{x^{2}}{3}-\ln |1+x|+C$,$x-\frac{x^{2}}{2}+\frac{x^{2}}{3}-\ell n|1+x|+C$,Option 1,Maths,Indefinite Integration,Integrals of Algebric Functions,Calculus,Easy,2600,*#####,###,####,####,Goutam,####,1,###,6
5,$\int \frac{x^{3}}{x+1} d x$ is equal to,$x+\frac{x^{2}}{2}+\frac{x^{2}}{3}-\ln |1-x|+C$,$x+\frac{x^{2}}{2}-\frac{x^{2}}{3}-\ln |1-x|+C$,$x-\frac{x^{2}}{2}-\frac{x^{2}}{3}-\ln |1+x|+C$,$x-\frac{x^{2}}{2}+\frac{x^{2}}{3}-\ell n|1+x|+C$,Option 1,Maths,Indefinite Integration,Integrals of Algebric Functions,Calculus,Easy,2600,*#####,###,####,####,Goutam,####,2,###,7
