Question_ID,Question,option1,option2,option3,option4,correct_option,Difficulty,Points,Level_Student,PredictedQuestion
1.0,$\int\left(1+x+\frac{x^{2}}{2!}+\frac{x^{3}}{3!}+\ldots \ldots ..\right) d x=$,$-\mathrm{e}^{\mathrm{x}}+\mathrm{c}$,$\mathrm{e}^{\mathrm{x}}+\mathrm{c}$,$e^{-x}+c$,$-\mathrm{e}^{-\mathrm{x}}+\mathrm{c}$,Option 2,0,1000.0,0,$\int\left(1+x+\frac{x^{2}}{2!}+\frac{x^{3}}{3!}+\ldots \ldots ..\right) d x=$
1.0,$\int\left(1+x+\frac{x^{2}}{2!}+\frac{x^{3}}{3!}+\ldots \ldots ..\right) d x=$,$-\mathrm{e}^{\mathrm{x}}+\mathrm{c}$,$\mathrm{e}^{\mathrm{x}}+\mathrm{c}$,$e^{-x}+c$,$-\mathrm{e}^{-\mathrm{x}}+\mathrm{c}$,Option 2,0,1000.0,1,$\int\left(1+x+\frac{x^{2}}{2!}+\frac{x^{3}}{3!}+\ldots \ldots ..\right) d x=$
1.0,$\int\left(1+x+\frac{x^{2}}{2!}+\frac{x^{3}}{3!}+\ldots \ldots ..\right) d x=$,$-\mathrm{e}^{\mathrm{x}}+\mathrm{c}$,$\mathrm{e}^{\mathrm{x}}+\mathrm{c}$,$e^{-x}+c$,$-\mathrm{e}^{-\mathrm{x}}+\mathrm{c}$,Option 2,0,1000.0,2,$\int\left(1+x+\frac{x^{2}}{2!}+\frac{x^{3}}{3!}+\ldots \ldots ..\right) d x=$
1.0,$\int\left(1+x+\frac{x^{2}}{2!}+\frac{x^{3}}{3!}+\ldots \ldots ..\right) d x=$,$-\mathrm{e}^{\mathrm{x}}+\mathrm{c}$,$\mathrm{e}^{\mathrm{x}}+\mathrm{c}$,$e^{-x}+c$,$-\mathrm{e}^{-\mathrm{x}}+\mathrm{c}$,Option 2,0,1000.0,3,$\int\left(1+x+\frac{x^{2}}{2!}+\frac{x^{3}}{3!}+\ldots \ldots ..\right) d x=$
1.0,$\int\left(1+x+\frac{x^{2}}{2!}+\frac{x^{3}}{3!}+\ldots \ldots ..\right) d x=$,$-\mathrm{e}^{\mathrm{x}}+\mathrm{c}$,$\mathrm{e}^{\mathrm{x}}+\mathrm{c}$,$e^{-x}+c$,$-\mathrm{e}^{-\mathrm{x}}+\mathrm{c}$,Option 2,0,1000.0,4,$\int\left(1+x+\frac{x^{2}}{2!}+\frac{x^{3}}{3!}+\ldots \ldots ..\right) d x=$
1.0,$\int\left(1+x+\frac{x^{2}}{2!}+\frac{x^{3}}{3!}+\ldots \ldots ..\right) d x=$,$-\mathrm{e}^{\mathrm{x}}+\mathrm{c}$,$\mathrm{e}^{\mathrm{x}}+\mathrm{c}$,$e^{-x}+c$,$-\mathrm{e}^{-\mathrm{x}}+\mathrm{c}$,Option 2,0,1000.0,5,$\int\left(1+x+\frac{x^{2}}{2!}+\frac{x^{3}}{3!}+\ldots \ldots ..\right) d x=$
1.0,$\int\left(1+x+\frac{x^{2}}{2!}+\frac{x^{3}}{3!}+\ldots \ldots ..\right) d x=$,$-\mathrm{e}^{\mathrm{x}}+\mathrm{c}$,$\mathrm{e}^{\mathrm{x}}+\mathrm{c}$,$e^{-x}+c$,$-\mathrm{e}^{-\mathrm{x}}+\mathrm{c}$,Option 2,0,1000.0,6,$\int\left(1+x+\frac{x^{2}}{2!}+\frac{x^{3}}{3!}+\ldots \ldots ..\right) d x=$
1.0,$\int\left(1+x+\frac{x^{2}}{2!}+\frac{x^{3}}{3!}+\ldots \ldots ..\right) d x=$,$-\mathrm{e}^{\mathrm{x}}+\mathrm{c}$,$\mathrm{e}^{\mathrm{x}}+\mathrm{c}$,$e^{-x}+c$,$-\mathrm{e}^{-\mathrm{x}}+\mathrm{c}$,Option 2,0,1000.0,7,$\int\left(1+x+\frac{x^{2}}{2!}+\frac{x^{3}}{3!}+\ldots \ldots ..\right) d x=$
1.0,$\int\left(1+x+\frac{x^{2}}{2!}+\frac{x^{3}}{3!}+\ldots \ldots ..\right) d x=$,$-\mathrm{e}^{\mathrm{x}}+\mathrm{c}$,$\mathrm{e}^{\mathrm{x}}+\mathrm{c}$,$e^{-x}+c$,$-\mathrm{e}^{-\mathrm{x}}+\mathrm{c}$,Option 2,0,1000.0,8,$\int\left(1+x+\frac{x^{2}}{2!}+\frac{x^{3}}{3!}+\ldots \ldots ..\right) d x=$
1.0,$\int\left(1+x+\frac{x^{2}}{2!}+\frac{x^{3}}{3!}+\ldots \ldots ..\right) d x=$,$-\mathrm{e}^{\mathrm{x}}+\mathrm{c}$,$\mathrm{e}^{\mathrm{x}}+\mathrm{c}$,$e^{-x}+c$,$-\mathrm{e}^{-\mathrm{x}}+\mathrm{c}$,Option 2,0,1000.0,9,$\int\left(1+x+\frac{x^{2}}{2!}+\frac{x^{3}}{3!}+\ldots \ldots ..\right) d x=$
2.0,$\int \frac{a x^{-2}+b x^{-1}+c}{x^{-3}} d x=$,$2 a x^{2}+3 b x^{3}+4 c x^{4}+k$,$6 a x^{2}+4 b x^{3}+3 c x^{4}+k$,$a+b+c x^{2}+k$,$\frac{1}{2} a x^{2}+\frac{1}{3} b x^{3}+\frac{1}{4} c x^{4}+k$,Option 4,0,1450.0,0,$\int \frac{a x^{-2}+b x^{-1}+c}{x^{-3}} d x=$
2.0,$\int \frac{a x^{-2}+b x^{-1}+c}{x^{-3}} d x=$,$2 a x^{2}+3 b x^{3}+4 c x^{4}+k$,$6 a x^{2}+4 b x^{3}+3 c x^{4}+k$,$a+b+c x^{2}+k$,$\frac{1}{2} a x^{2}+\frac{1}{3} b x^{3}+\frac{1}{4} c x^{4}+k$,Option 4,0,1450.0,1,$\int \frac{a x^{-2}+b x^{-1}+c}{x^{-3}} d x=$
2.0,$\int \frac{a x^{-2}+b x^{-1}+c}{x^{-3}} d x=$,$2 a x^{2}+3 b x^{3}+4 c x^{4}+k$,$6 a x^{2}+4 b x^{3}+3 c x^{4}+k$,$a+b+c x^{2}+k$,$\frac{1}{2} a x^{2}+\frac{1}{3} b x^{3}+\frac{1}{4} c x^{4}+k$,Option 4,0,1450.0,2,$\int \frac{a x^{-2}+b x^{-1}+c}{x^{-3}} d x=$
2.0,$\int \frac{a x^{-2}+b x^{-1}+c}{x^{-3}} d x=$,$2 a x^{2}+3 b x^{3}+4 c x^{4}+k$,$6 a x^{2}+4 b x^{3}+3 c x^{4}+k$,$a+b+c x^{2}+k$,$\frac{1}{2} a x^{2}+\frac{1}{3} b x^{3}+\frac{1}{4} c x^{4}+k$,Option 4,0,1450.0,3,$\int \frac{a x^{-2}+b x^{-1}+c}{x^{-3}} d x=$
2.0,$\int \frac{a x^{-2}+b x^{-1}+c}{x^{-3}} d x=$,$2 a x^{2}+3 b x^{3}+4 c x^{4}+k$,$6 a x^{2}+4 b x^{3}+3 c x^{4}+k$,$a+b+c x^{2}+k$,$\frac{1}{2} a x^{2}+\frac{1}{3} b x^{3}+\frac{1}{4} c x^{4}+k$,Option 4,0,1450.0,4,$\int \frac{a x^{-2}+b x^{-1}+c}{x^{-3}} d x=$
2.0,$\int \frac{a x^{-2}+b x^{-1}+c}{x^{-3}} d x=$,$2 a x^{2}+3 b x^{3}+4 c x^{4}+k$,$6 a x^{2}+4 b x^{3}+3 c x^{4}+k$,$a+b+c x^{2}+k$,$\frac{1}{2} a x^{2}+\frac{1}{3} b x^{3}+\frac{1}{4} c x^{4}+k$,Option 4,0,1450.0,5,$\int \frac{a x^{-2}+b x^{-1}+c}{x^{-3}} d x=$
